"","county","market_name","location","address_line_1","city","state","zip","contact","phone","market_link","operation_hours","operation_season","fmnp","latitude","longitude","location_points","neighborhood","days_between_markets","season_date_range"
"32","Bronx","Harvest Home Sunday Farmers' Market","Grand Concourse & E. 165th St.,  at Bronx Museum of the Arts","Grand Concourse and East 165st St","Bronx","NY",10456,"Maritza Owens",2128283361,"http://www.harvesthomefm.org","Sunday  8am-4pm","July 7 - November  17","Y",40.83086,-73.92033,"Grand Concourse and East 165st St
(40.83086, -73.92033)","High Bridge and Morrisania","7","July 7 - November  17"
"33","Bronx","Hunts Point Farmers' Market","Monsignor Raul del Valle Sq.(subway#6)Southern Blvd., E. 163rd & Bruckner","Southern Blvd and East 163rd St","Bronx","NY",10459,"Doug Ornstein",9149234837,"http://www.downtoearthmarkets.com","Wed/Sat  8:30am-4pm","June 26 - November 23","Y",40.82099,-73.89167,"Southern Blvd and East 163rd St
(40.82099, -73.89167)","Hunts Point and Mott Haven","3|4","June 26 - November 23"
"34","Bronx","Kingsbridge Heights Farmers Market","Kingsbridge Heights Comm. Ctr,3101 Kingsbridge Terrace, Bronx","3101 Kingsbridge Terrace","Bronx","NY",10463,"Sadie Mahoney",7188840700,"http://www.khcc-nyc.org","Friday  11am-7pm","July 5 - September 6","Y",40.87758,-73.90072,"3101 Kingsbridge Terrace
(40.87758, -73.90072)","Kingsbridge and Riverdale","7","July 5 - September 6"
"35","Bronx","La Familia Verde Farmers' Market","Tremont Park, on Tremont Ave.;btwn LaFontaine & Arthur Aves.","East Tremont Ave and Arthur Ave","Bronx","NY",10457,"Heidi Hynes",7185831765,"http://www.lafamiliaverde.org","Tuesday  8am-2pm","July 9 - November 12","Y",40.8464,-73.89337,"East Tremont Ave and Arthur Ave
(40.8464, -73.89337)","Central Bronx","7","July 9 - November 12"
"36","Bronx","Learn it, Grow it, Eat it Youthmarket","169th St. and Boston Rd.McKinley Square (Parks)","Boston Rd and East 169th St","Bronx","NY",10456,"Ryan Morningstar",5089442083,"","Wed  10am-2:30pm","July 10 - November 20","Y",40.83117,-73.90032,"Boston Rd and East 169th St
(40.83117, -73.90032)","High Bridge and Morrisania","7","July 10 - November 20"
"37","Bronx","Lincoln Hospital Greenmarket","149th St. btw Park & Morris Aves.","East 149th St and Morris Ave","Bronx","NY",10451,"Chelsea Whittaker",2127887476,"http://www.grownyc.org","Tue/Fri  8am - 3pm","June 28 - November 22","Y",40.81739,-73.92276,"East 149th St and Morris Ave
(40.81739, -73.92276)","High Bridge and Morrisania","3|4","June 28 - November 22"
"38","Bronx","Marble Hill Youthmarket","225th St., btw Broadway & Exteriorbtwn Marshalls & Applebees","Broadway and West 225th St","Bronx","NY",10463,"Ryan Morningstar",5089442083,"","Thursday  2pm-6pm","July 11 - November 21","Y",40.87424,-73.91036,"Broadway and West 225th St
(40.87424, -73.91036)","Kingsbridge and Riverdale","7","July 11 - November 21"
"39","Bronx","Mott Haven Farmers' Market","Padre Plaza Success Community Garden,E. 139th St. & 283 St. Ann's Ave.","283 Saint Anns Ave","Bronx","NY",10454,"Sheila Young",7189241143,"","Wednesday  10am-4pm","June 26 - November 13","Y",40.80789,-73.91709,"283 Saint Anns Ave
(40.80789, -73.91709)","Hunts Point and Mott Haven","7","June 26 - November 13"
"40","Bronx","New York Botanical Garden Greenmarket","Mosholu Gate on Southern Blvd btwMosholu Pkwy and Bedford Park Blvd","Dr Theodore Kazimiroff Blvd and Mosholu Pkwy","Bronx","NY",10458,"Chelsea Whittaker",2127887476,"http://www.grownyc.org","Wednesday  9am-3pm","June 19 - November 27","Y",40.86771,-73.8796,"Dr Theodore Kazimiroff Blvd and Mosholu Pkwy
(40.86771, -73.8796)","Bronx Park and Fordham","7","June 19 - November 27"
"41","Bronx","Northeast Bronx Farmers' Market","Haffen Park, Hammersley & Wickham Aves.","Hammersley Ave and Wickham Ave","Bronx","NY",10469,"Nate Dukes",7188629687,"","Saturday  8am-5pm","July 6 - November 16","Y",40.87268,-73.83912,"Hammersley Ave and Wickham Ave
(40.87268, -73.83912)","Northeast Bronx","7","July 6 - November 16"
"42","Bronx","Parkchester/ Virginia Park Greenmarket","Westchester Ave. & White Plains Rd.","Westchester Ave and White Plains Rd","Bronx","NY",10472,"Chelsea Whittaker",2127887476,"http://www.grownyc.org","Friday  8am - 4pm","June 14 - November 22","Y",40.83283,-73.8627,"Westchester Ave and White Plains Rd
(40.83283, -73.8627)","Southeast Bronx","7","June 14 - November 22"
"43","Bronx","Poe Park Greenmarket","btw Grand Concourse & Valentine192 Street","Grand Concourse and East 192nd St","Bronx","NY",10458,"Chelsea Whittaker",2127887476,"http://www.grownyc.org","Tuesday  8am - 3pm","July 2 - November 19","Y",40.86417,-73.8956,"Grand Concourse and East 192nd St
(40.86417, -73.8956)","Bronx Park and Fordham","7","July 2 - November 19"
"44","Bronx","Project EATS Hegney Place Farmers' Market","Rae Street,Bronx","Rae Street","Bronx","NY",10455,"Michelle Hodges",2126121528,"http://www.projecteats.org","Saturday  8am-12 Noon","June 8 - November 23","Y",40.81752,-73.91232,"Rae Street
(40.81752, -73.91232)","Hunts Point and Mott Haven","7","June 8 - November 23"
"45","Bronx","Riverdale Neighborhood House Youthmarket","W. 256th St. & Mosholu, RiverdaleNeighborhood House Property","5521 West 226th St","Bronx","NY",10466,"Ryan Morningstar",5089442083,"","Thursday  3pm-7pm","July 11 - November 21","Y",40.90388,-73.90313,"5521 West 226th St
(40.90388, -73.90313)","Northeast Bronx","7","July 11 - November 21"
"46","Bronx","Riverdale Y Sunday Farmers' Market","Independence Ave,W. 237th St., BronxMiddle School 141","Independence Ave and W 237 Street","Bronx","NY",10463,"Marti Michael",7185488200,"http://www.riverdaley.org","Sunday  9am-2pm","May 5 - November 24","Y",40.88836,-73.91311,"Independence Ave and W 237 Street
(40.88836, -73.91311)","Kingsbridge and Riverdale","7","May 5 - November 24"
"47","Bronx","Roberto Clemente Plaza Youthmarket","Pedestrian Plaza on 3rd Ave.Btwn 149th & 148th, Bronx","3rd Ave and 148th Street","Bronx","NY",10455,"Ryan Morningstar",5089442083,"","Wednesday  9am-3pm","July 10 - November 20","Y",40.81553,-73.91858,"3rd Ave and 148th Street
(40.81553, -73.91858)","Hunts Point and Mott Haven","7","July 10 - November 20"
"48","Bronx","Taqwa Community Farmers' Market","90 W. 164th St. & Ogden Ave. In garden, Bronx","90 West 164th St","Bronx","NY",10452,"Bobby Watson",7188727282,"http://www.justfood.org/cityfarms/markets","Saturday  8am-4pm","June 29 - November 16","Y",40.83251,-73.92886,"90 West 164th St
(40.83251, -73.92886)","High Bridge and Morrisania","7","June 29 - November 16"
"49","Bronx","The Heights Community Farmers' Market","University Ave. and W. 181 Street,The Bronx","University Ave and W 181st Street","Bronx","NY",10453,"Rob Moore",7185083194,"http://www.bronxworks.org","Thursday  9am-3pm","July 11 - October 31","Y",40.8572,-73.90974,"University Ave and W 181st Street
(40.8572, -73.90974)","Central Bronx","7","July 11 - October 31"
"50","Bronx","Wholesale Greenmarket","800 Food Center Drive,Hunts Point, Bronx","800 Food Center Dr","Bronx","NY",10474,"Chelsea Whittaker",2127887476,"http://www.grownyc.org","Mon-Sat  2am-8am","July - November","Y",40.80234,-73.87367,"800 Food Center Dr
(40.80234, -73.87367)","Hunts Point and Mott Haven","1|1|1|1|1|2","July - November"
"148","Kings","Albee Square Farmers' Market","Fulton St.,corner of Fulton and Bond Sts., Brooklyn","Fulton Street and Bond Street","Brooklyn","NY",11201,"Johanna Safar",9143181067,"","Thursday  10am-4pm    Saturday  11am-5pm","May 4 - November 23","Y",40.6897,-73.98296,"Fulton Street and Bond Street
(40.6897, -73.98296)","Northwest Brooklyn","7","May 4 - November 23"
"149","Kings","Bartel-Pritchard Square Greenmarket","Prospect Park West, at 15th St. (inside park entrance)","Bartel Pritchard Square","Brooklyn","NY",11215,"Chelsea Whittaker",2127887476,"http://www.grownyc.org","Wednesday  8am-3pm","May 1 - November 27","Y",40.66094,-73.97979,"Bartel Pritchard Square
(40.66094, -73.97979)","Northwest Brooklyn","7","May 1 - November 27"
"150","Kings","Bay Ridge Greenmarket","Walgreen's parking lot,Third Ave. & 95th St.","Third Ave and 95th St","Brooklyn","NY",11209,"Chelsea Whittaker",2127887476,"http://www.grownyc.org","Saturday  8am - 3pm","June 1 - November 23","Y",40.61724,-74.03362,"Third Ave and 95th St
(40.61724, -74.03362)","Southwest Brooklyn","7","June 1 - November 23"
"151","Kings","Bensonhurst Greenmarket","18th Ave between 81st & 82nd Streets, Brooklyn","8112 Cristoforo Colombo Blvd","Brooklyn","NY",11214,"Chelsea Whittaker",2127887476,"http://www.grownyc.org","Sunday 9am - 4pm","July 7 - November 23","Y",40.60971,-73.99971,"8112 Cristoforo Colombo Blvd
(40.60971, -73.99971)","Southwest Brooklyn","7","July 7 - November 23"
"152","Kings","Boro Park Greenmarket","14th Ave. btw 49th & 50th Sts.","14th Ave and 49th St","Brooklyn","NY",11219,"Chelsea Whittaker",2127887476,"http://www.grownyc.org","Thursday  8am - 3pm","July 11 - November 21","Y",40.6337,-73.98992,"14th Ave and 49th St
(40.6337, -73.98992)","Borough Park","7","July 11 - November 21"
"153","Kings","Brooklyn Borough Hall Greenmarket","Supreme Court Plaza, Court & Montague Sts.","Court St and Montague St","Brooklyn","NY",11201,"Chelsea Whittaker",2127887476,"http://www.grownyc.org","Tue/Thu/Sat  8am - 6pm","Year-round","Y",40.69375,-73.99047,"Court St and Montague St
(40.69375, -73.99047)","Northwest Brooklyn","2|2|3","January 1 - December 31"
"154","Kings","Brooklyn Bridge Park Farmers' Market","At end of Atlantic Ave at Pier 6,Brooklyn","Furman Street and Joralemon Street","Brooklyn","NY",11201,"Doug Ornstein",9149234837,"http://www.downtoearthmarkets.com","Sunday  11am-5pm","June 9 - December 1","Y",40.69389,-73.99923,"Furman Street and Joralemon Street
(40.69389, -73.99923)","Northwest Brooklyn","7","June 9 - December 1"
"155","Kings","Brownsville Community Farmers' Market","514 Rockaway Ave., BrooklynCorner of Rockaway & Sutter Ave.","514 Rockaway Ave","Brooklyn","NY",11212,"Renee Murir",7183455000,"http://www.bmsfhc.org","Saturday  8:30am-4:30pm","July 20 - November 09","Y",40.66746,-73.91048,"514 Rockaway Ave
(40.66746, -73.91048)","Central Brooklyn","7","July 20 - November 09"
"156","Kings","Brownsville Pitkins Ave Youthmarket","Thomas Boyland, south of Pitkin, west side","Thomas Boyland St and Pitkin Ave","Brooklyn","NY",11212,"Ryan Morningstar",5089442083,"","Saturday  9:30am-3:30pm","July 13 - November 23","Y",40.66925,-73.91358,"Thomas Boyland St and Pitkin Ave
(40.66925, -73.91358)","Central Brooklyn","7","July 13 - November 23"
"157","Kings","Brownsville Rockaway Youthmarket","Rockaway Ave, btwn Livonia Ave & Dumont","Rockaway Ave and Livonia Ave","Brooklyn","NY",11212,"Ryan Morningstar",5089442083,"","Friday  1pm - 6pm","July 12 - November 22","Y",40.66255,-73.90892,"Rockaway Ave and Livonia Ave
(40.66255, -73.90892)","Central Brooklyn","7","July 12 - November 22"
"158","Kings","Bushwick I Farmers' Market","Linden St.,btwn Broadway & Bushwick Aves.","Broadway and Linden St","Brooklyn","NY",11221,"Travis Tench",6463939305,"http://www.bushwickfarmersmarket.org","Wednesday  10am-6pm","June 5 - November 13","Y",40.68992,-73.92281,"Broadway and Linden St
(40.68992, -73.92281)","Bushwick and Williamsburg","7","June 5 - November 13"
"159","Kings","Bushwick III Farmers' Market","Broadway, btwn Halsey St. and Thomas Boyland","Halsey St and Broadway Ave.","Brooklyn","NY",11385,"Travis Tench",6463939305,"http://www.bushwickfarmersmarket.org","Thursday  10am-6pm","June 6 - November 14","Y",40.69952,-73.91106,"Halsey St and Broadway Ave.
(40.69952, -73.91106)","West Central Queens","7","June 6 - November 14"
"160","Kings","Bushwick III Satellite Farmers' Market","Irving & Putnam Aves.,Brooklyn","Irving Ave and Putnam Ave","Brooklyn","NY",11237,"Travis Tench",6463939305,"http://www.bushwickfarmersmarket.org","Thursday 12pm-5pm","June 6 - November 14","Y",40.6967,-73.9103,"Irving Ave and Putnam Ave
(40.6967, -73.9103)","Bushwick and Williamsburg","7","June 6 - November 14"
"161","Kings","Bushwick II/Maria Hernandez Farmers' Market","Knickerbocker Ave. & Starr St.Maria Hernandez Park, Brooklyn","Knickerbocker Ave and Starr St","Brooklyn","NY",11237,"Travis Tench",6463939305,"http://www.bushwickfarmersmarket.org","Saturday  9am-4pm","June 1 - November 16","Y",40.70281,-73.92539,"Knickerbocker Ave and Starr St
(40.70281, -73.92539)","Bushwick and Williamsburg","7","June 1 - November 16"
"162","Kings","Bushwick II Satellite Farmers' Market","Wilson Ave & Halsey St.,Irving Square Park, Brooklyn","Wilson Ave and Halsey St","Brooklyn","NY",11207,"Travis Tench",6463939305,"http://www.bushwickfarmersmarket.org","Saturday  11am-3pm","June 1 - November 16","Y",40.6915,-73.90955,"Wilson Ave and Halsey St
(40.6915, -73.90955)","East New York and New Lots","7","June 1 - November 16"
"163","Kings","Bushwick I Satellite Farmers' Market","Myrtle Ave. & Grove St.Near Make-the-Road NY, Brooklyn","Myrtle Ave and Grove St","Brooklyn","NY",11237,"Travis Tench",6463939305,"http://www.bushwickfarmersmarket.org","Friday 12 Noon-5 pm","June 7 - November 15","Y",40.69916,-73.91492,"Myrtle Ave and Grove St
(40.69916, -73.91492)","Bushwick and Williamsburg","7","June 7 - November 15"
"164","Kings","Carroll Gardens Greenmarket","Carroll St., btw Court & Smith Sts.","Carroll St and Court St","Brooklyn","NY",11231,"Chelsea Whittaker",2127887476,"http://www.grownyc.org","Sunday  8am - 3pm","Year-round","Y",40.68106,-73.99653,"Carroll St and Court St
(40.68106, -73.99653)","Northwest Brooklyn","7","January 1 - December 31"
"165","Kings","Coney Island Farmers' Market","Surf Ave. & W. 16th St.","Surf Ave and West 16th St","Brooklyn","NY",11224,"Judi Orlando",7182664653,"http://www.astelladevelopment.org","Sunday  9am-3pm","June 16 - November 24","Y",40.57542,-73.98345,"Surf Ave and West 16th St
(40.57542, -73.98345)","Southern Brooklyn","7","June 16 - November 24"
"166","Kings","Cooper Park Farmers' Market","Cooper Park,Maspeth Ave. & Olive St., Brooklyn","Cooper Park","Brooklyn","NY",11211,"Doug Ornstein",9149234837,"http://www.downtoearthmarkets.com","Sunday  11am-4pm","May 26 - November 24","Y",40.71607,-73.93868,"Cooper Park
(40.71607, -73.93868)","Greenpoint","7","May 26 - November 24"
"167","Kings","Cortelyou Greenmarket","Cortelyou Rd. btw Argyle and Rugby Rds.","Cortelyou Rd and Argyle Rd","Brooklyn","NY",11226,"Chelsea Whittaker",2127887476,"http://www.grownyc.org","Sunday  8am - 4pm","Year-round","Y",40.64044,-73.96617,"Cortelyou Rd and Argyle Rd
(40.64044, -73.96617)","Flatbush","7","January 1 - December 31"
"168","Kings","Crown Heights Farmers' Market","Hamilton Metz Park, Albany & Lefferts Aves., Brooklyn","Albany Ave and Lefferts Ave","Brooklyn","NY",11213,"Nancie Katz",9177564202,"http://www.seedsinthemiddle.org","Thursday  11am-7pm","June 6 - November 14","Y",40.66303,-73.94001,"Albany Ave and Lefferts Ave
(40.66303, -73.94001)","Central Brooklyn","7","June 6 - November 14"
"169","Kings","Cypress Hills Youthmarket","Fulton St., btwn Richmond & Logan Sts., Brooklyn","Fulton St and Logan St","Brooklyn","NY",11208,"Ryan Morningstar",5089442083,"","Friday  2pm-6pm","July 12 - November 22","Y",40.68203,-73.87787,"Fulton St and Logan St
(40.68203, -73.87787)","East New York and New Lots","7","July 12 - November 22"
"170","Kings","East New York Farmers' Market I","New Lots and Schenck Aves.,Brooklyn, NY 11207","New Lots Ave and Schenck Ave","Brooklyn","NY",11207,"Janelle Nicol",7186497979,"http://www.eastnewyorkfarms.org","Saturday  9am-3pm","June 29 - November 16","Y",40.6647,-73.88658,"New Lots Ave and Schenck Ave
(40.6647, -73.88658)","East New York and New Lots","7","June 29 - November 16"
"171","Kings","East New York Farmers' Market II","New Lots & Georgia Aves.,Brooklyn, NY 11207","New Lots Ave and Alabama Ave","Brooklyn","NY",11207,"Janelle Nicol",7186497979,"http://www.eastnewyorkfarms.org","Wed  3:30pm- 6:30pm","July 10 - October 30","Y",40.66077,-73.8955,"New Lots Ave and Alabama Ave
(40.66077, -73.8955)","East New York and New Lots","7","July 10 - October 30"
"172","Kings","Fort Greene Park Greenmarket","Washington Park,btw Dekalb Ave. & Willoughby St.","Washington Park and DeKalb Ave","Brooklyn","NY",11205,"Chelsea Whittaker",2127887476,"http://www.grownyc.org","Saturday  8am - 4pm","Year-round","Y",40.68961,-73.9731,"Washington Park and DeKalb Ave
(40.68961, -73.9731)","Northwest Brooklyn","7","January 1 - December 31"
"173","Kings","Graham Avenue Farmers' Market","Cook St.,to the east of Graham Ave.","Graham Ave and Cook St","Brooklyn","NY",11206,"Betty Cooney",7183876643,"http://www.grahamavebid.com","Sat  8am-5pm    Sun  8am-4pm","July 6 - October 27","Y",40.70235,-73.94238,"Graham Ave and Cook St
(40.70235, -73.94238)","Bushwick and Williamsburg","1|6","July 6 - October 27"
"174","Kings","Grand Army Plaza Greenmarket","Prospect Park entrance,Flatbush Ave. & Prospect Park West","Flatbush Ave and Grand Army Plaza","Brooklyn","NY",11238,"Chelsea Whittaker",2127887476,"http://www.grownyc.org","Saturday   8am - 4pm","Year-round","Y",40.67412,-73.9695,"Flatbush Ave and Grand Army Plaza
(40.67412, -73.9695)","Central Brooklyn","7","January 1 - December 31"
"175","Kings","Greenpoint/ McCarren Park Greenmarket","Union Ave btw Driggs & N 12th St","McCarren Dog Park Run","Brooklyn","NY",11222,"Chelsea Whittaker",2127887476,"http://www.grownyc.org","Saturday  8am - 3pm","Year-round","Y",40.72004,-73.95291,"McCarren Dog Park Run
(40.72004, -73.95291)","Greenpoint","7","January 1 - December 31"
"176","Kings","Greenpoint/ McGolrick Park Farmers' Market","McGolrick Park,Russel St. off Nassau Ave., Brooklyn","McGolrick Park","Brooklyn","NY",11222,"Doug Ornstein",9149234837,"http://www.downtoearthmarkets.com","Sunday  11am-4pm","April 7 - December 29","Y",40.72444,-73.94336,"McGolrick Park
(40.72444, -73.94336)","Greenpoint","7","April 7 - December 29"
"177","Kings","Harvest Home Coney Island Farmers' Market","Ocean Parkway,btwn Ave. Z & Shore Rd.","Ocean Pkwy and Avenue Z","Brooklyn","NY",11235,"Maritza Owens",2128283361,"http://www.harvesthomefm.org","Friday  8am-4pm","June 14 - November 15","Y",40.58669,-73.96578,"Ocean Pkwy and Avenue Z
(40.58669, -73.96578)","Southern Brooklyn","7","June 14 - November 15"
"178","Kings","Harvest Home Lutheran Farmers' Market","Lutheran Way, btwn 55th St. & Sunset Park, Brooklyn","Second Ave and 55th St","Brooklyn","NY",11220,"Maritza Owens",2128283361,"http://www.harvesthomefm.org","Thursday  8am-4pm","July 11 - November 14","Y",40.6463,-74.01984,"Second Ave and 55th St
(40.6463, -74.01984)","Sunset Park","7","July 11 - November 14"
"179","Kings","Hattie Carthan After Church Farmers' Market","49 Van Buren St.,Herban Farm & Bailey's Café","49 Van Buren St","Brooklyn","NY",11221,"Yonnette Fleming",7186383566,"http://www.hattiecarthancommunitymarket.com","Sunday  1pm-6pm","July 28 - November 17","Y",40.69024,-73.94359,"49 Van Buren St
(40.69024, -73.94359)","Bushwick and Williamsburg","7","July 28 - November 17"
"180","Kings","Hattie Carthan Community Garden Farmers' Market","363-365 Clifton Place,btwn Nostrand & Marcy Aves.","356 Clifton Pl","Brooklyn","NY",11216,"Yonnette Fleming",7186383566,"http://www.hattiecarthancommunitymarket.com","Saturday  9am-3pm","July 13 - November 16","Y",40.68902,-73.95016,"356 Clifton Pl
(40.68902, -73.95016)","Central Brooklyn","7","July 13 - November 16"
"181","Kings","High School for Public Service Farmers' Market","600 Kingston Ave., btw Rutland & Winthrop Aves.","600 Kingston Ave","Brooklyn","NY",11203,"Steve Frillman",2125942155,"http://www.hspsfarm.blogspot.com","Wed  2:30pm-6:30pm","June 26 - October 30","Y",40.65866,-73.94384,"600 Kingston Ave
(40.65866, -73.94384)","Flatbush","7","June 26 - October 30"
"182","Kings","Isabahlia Farmers' Market","Ponell Street Garden410 Livonia Ave, Brooklyn","410 Livonia Ave","Brooklyn","NY",11212,"Brenda Thompson-Duchene",7184983174,"","Saturday  4pm-8pm","June 29 - November 2","Y",40.6635,-73.90234,"410 Livonia Ave
(40.6635, -73.90234)","Central Brooklyn","7","June 29 - November 2"
"183","Kings","Kensington Youthmarket","Ft. Hamilton Pkwy, btwn E. 4th & E. 5th Sts.corner outside the library","Fort Hamilton Pkwy and East 5th St","Brooklyn","NY",11218,"Ryan Morningstar",5089442083,"","Saturday  9am-3pm","July 13 - November 23","Y",40.64915,-73.97662,"Fort Hamilton Pkwy and East 5th St
(40.64915, -73.97662)","Borough Park","7","July 13 - November 23"
"184","Kings","Malcolm X Blvd. Community Farmers' Market","Jackie Robinson Park,btwn Chauncy & Marion Sts.","Malcolm X Blvd and Marion St","Brooklyn","NY",11233,"Rev. Robert Jackson",7183633085,"http://www.brooklynrescuemission.org","Saturday  8am-3pm","July 13 - October 26","Y",40.67975,-73.92865,"Malcolm X Blvd and Marion St
(40.67975, -73.92865)","Central Brooklyn","7","July 13 - October 26"
"185","Kings","Myrtle Avenue Farmers' Market","Myrtle & North Portland Aves.,Brooklyn","177 Myrtle Ave","Brooklyn","NY",11201,"Kassy Nystrom",7182301689,"http://www.myrtleavenue.org","Wednesday  8am-3pm","July 3 - October 30","Y",40.69363,-73.98241,"177 Myrtle Ave
(40.69363, -73.98241)","Northwest Brooklyn","7","July 3 - October 30"
"186","Kings","Park Slope Farmers' Market","Fourth St., off Fifth Ave., near P.S. 51","Fourth Street and Fifth Avenue","Brooklyn","NY",11215,"Doug Ornstein",9149234837,"http://www.downtoearthmarkets.com","Sunday  10am-5pm","Year-round","Y",40.6722,-73.98379,"Fourth Street and Fifth Avenue
(40.6722, -73.98379)","Northwest Brooklyn","7","January 1 - December 31"
"187","Kings","Project EATS Brownsville Farmers' Market","Amboy Street Garden,corner of Amboy St. & Blake Ave.","Amboy St and Blake Ave","Brooklyn","NY",11212,"Michelle Hodges",2126121528,"http://www.projecteats.org","Tuesday  3pm-7pm","June 11 - November 26","Y",40.66507,-73.91348,"Amboy St and Blake Ave
(40.66507, -73.91348)","Central Brooklyn","7","June 11 - November 26"
"188","Kings","Sunset Park Greenmarket","4th Ave. btw 59th & 60th Sts.","4th Ave and 60th St","Brooklyn","NY",11220,"Chelsea Whittaker",2127887476,"http://www.grownyc.org","Saturday  8am - 3pm","June 29 - November 16","Y",40.64081,-74.01836,"4th Ave and 60th St
(40.64081, -74.01836)","Sunset Park","7","June 29 - November 16"
"189","Kings","Urban Oasis Farmers' Market","Market Pavilion,Clarkson & Troy Aves., Brooklyn","681 Clarkson Ave","Brooklyn","NY",11203,"Beatrix McLeod",7182217132,"","Wed  2pm-5:30pm","June 12 - November 13","Y",40.65621,-73.93741,"681 Clarkson Ave
(40.65621, -73.93741)","Flatbush","7","June 12 - November 13"
"190","Kings","Walt Shamel Farmers' Market","Walt Shamel Community Garden,1095 Dean St., BrooklynBetween Beford & Franklin Aves.","109 Dean Street","Brooklyn","NY",11217,"Desiree Ortiz",7186854816,"","Saturday  8am-3pm","June 29 - November 2","Y",40.68693,-73.98894,"109 Dean Street
(40.68693, -73.98894)","Northwest Brooklyn","7","June 29 - November 2"
